s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106
metab_1	-0.0051775428	-0.0049196483	-0.0058930606	-0.0051775428	-0.0027769461	-0.0051775428	-0.0026217018	-0.0055588469	-0.0041687712	-0.0014832325	-0.0058930606	-0.0046619646	-0.0049441417	-0.0035747009	-0.0049441417	-0.0060549417	-0.0030599754	-0.0055588469	-0.0051775428	-0.0036098538	-0.0040955903	-0.0060549417	-0.0049441417	-0.0055588469	-0.0037098023	-0.0010251851	-0.0040955903	0.0229121943	-0.0035140763	-0.0017621665	-0.0032748691	-0.0012872075	0.0061937443	-0.0039890442	-0.0030599754	-0.0049196483	-0.0055588469	-0.0058930606	-0.0039890442	-0.0035140763	-0.0088158057	-0.0029727493	-0.0032075154	-0.0049196483	-0.0049196483	-0.0044268400	-0.0014332136	-0.0049441417	-0.0058930606	-0.0037098023	-0.0039890442	-0.0040955903	-0.0049441417	-0.0049196483	-0.0088158057	-0.0049196483	-0.0040793693	-0.0022084074	-0.0032983713	-0.0023071277	-0.0035140763	-0.0046379988	-0.0024371070	-0.0013475575	-0.0060549417	-0.0049196483	-0.0037098023	-0.0049196483	-0.0032075154	-0.0023361113	-0.0017972075	-0.0040793693	-0.0060549417	-0.0028694225	-0.0030599754	-0.0055588469	-0.0032075154	-0.0024371070	-0.0017972075	-0.0040955903	-0.0012666221	-0.0066442452	-0.0058930606	-0.0015916975	-0.0018547889	-0.0049196483	-0.0023361113	-0.0049994375	-0.0032075154	-0.0034259842	-0.0045176890	-0.0027769461	-0.0041687712	-0.0017972075	-0.0022084074	-0.0040793693	-0.0060549417	-0.0040793693	0.0090613043	-0.0049441417	-0.0066442452	-0.0013475575	-0.0060549417	-0.0026217018	-0.0046379988	-0.0046379988
metab_2	-0.0049441417	-0.0060549417	-0.0049994375	-0.0058930606	-0.0015461874	-0.0046379988	-0.0012666221	-0.0046619646	-0.0035747009	-0.0016756918	-0.0032748691	-0.0058930606	-0.0032748691	-0.0041687712	-0.0055588469	-0.0066442452	-0.0038823858	-0.0034259842	-0.0049441417	-0.0051775428	-0.0022084074	-0.0027769461	-0.0051775428	-0.0039890442	-0.0055588469	-0.0012872075	-0.0024877376	0.0223250360	-0.0022376952	-0.0013528231	-0.0058930606	-0.0012963686	0.0060995675	-0.0088158057	-0.0049441417	-0.0024877376	-0.0044268400	-0.0049441417	-0.0032075154	-0.0049441417	-0.0049994375	-0.0044268400	-0.0032983713	-0.0035747009	-0.0060549417	-0.0028694225	-0.0028694225	-0.0049196483	-0.0049196483	-0.0049441417	-0.0046619646	-0.0055588469	-0.0058930606	-0.0051775428	-0.0060549417	-0.0060549417	-0.0038823858	-0.0028694225	-0.0029727493	-0.0006858139	-0.0031386238	-0.0049196483	-0.0035140763	-0.0035747009	-0.0046379988	-0.0017621665	-0.0046379988	-0.0032075154	-0.0088158057	-0.0035747009	-0.0029727493	-0.0026217018	-0.0066442452	-0.0049196483	-0.0017972075	-0.0039890442	-0.0035140763	-0.0040955903	-0.0066442452	-0.0058930606	-0.0030599754	-0.0038823858	-0.0037098023	-0.0039589236	-0.0027769461	-0.0055588469	-0.0015916975	-0.0032983713	-0.0017972075	-0.0032075154	-0.0032075154	-0.0039589236	-0.0049994375	-0.0036098538	-0.0046379988	-0.0049441417	-0.0014832325	-0.0060549417	0.0089792290	-0.0026827697	-0.0015461874	-0.0036098538	-0.0026827697	-0.0046619646	-0.0015916975	-0.0036098538
metab_3	-0.0055588469	-0.0088158057	-0.0046379988	-0.0049994375	-0.0032075154	-0.0049441417	-0.0014332136	-0.0032748691	-0.0044268400	-0.0024877376	-0.0041687712	-0.0023071277	-0.0049994375	-0.0032983713	-0.0066442452	-0.0035559792	-0.0027769461	-0.0012467604	-0.0040955903	-0.0040793693	-0.0010700185	-0.0028694225	-0.0041687712	-0.0032983713	-0.0026827697	-0.0013528231	-0.0038823858	0.0217398725	-0.0031386238	-0.0040793693	-0.0088158057	-0.0015133633	0.0058814075	-0.0066442452	-0.0060549417	-0.0013475575	-0.0011313278	-0.0035747009	-0.0030599754	-0.0029727493	-0.0036098538	-0.0017972075	-0.0051775428	-0.0055588469	-0.0088158057	-0.0058930606	-0.0026827697	-0.0018547889	-0.0051775428	-0.0024371070	-0.0029727493	-0.0040793693	-0.0049196483	-0.0049441417	-0.0066442452	-0.0037098023	-0.0046619646	-0.0046379988	-0.0046379988	-0.0046619646	-0.0044268400	-0.0012666221	-0.0051775428	-0.0015461874	-0.0032748691	-0.0029727493	-0.0039890442	-0.0027769461	-0.0046379988	-0.0058930606	-0.0088158057	-0.0035747009	-0.0046379988	-0.0026827697	-0.0049441417	-0.0088158057	-0.0038823858	-0.0038823858	-0.0028694225	-0.0041687712	-0.0022376952	-0.0088158057	-0.0046619646	-0.0024371070	-0.0035559792	-0.0021287195	-0.0013528231	-0.0049441417	-0.0058930606	-0.0049441417	-0.0035747009	-0.0058930606	-0.0045176890	-0.0049441417	-0.0039589236	-0.0032075154	-0.0046379988	-0.0088158057	0.0088212964	-0.0035747009	-0.0035559792	-0.0027769461	-0.0039890442	-0.0018547889	-0.0060549417	-0.0022084074
metab_4	-0.0037098023	-0.0032748691	-0.0037098023	-0.0044268400	-0.0038823858	-0.0055588469	-0.0017621665	-0.0032983713	-0.0035140763	-0.0015916975	-0.0055588469	-0.0035747009	-0.0032983713	-0.0040955903	-0.0029727493	-0.0037098023	-0.0049196483	-0.0018547889	-0.0039890442	-0.0045176890	-0.0017972075	-0.0066442452	-0.0035140763	-0.0035559792	-0.0040793693	-0.0014332136	-0.0034259842	0.0214439448	-0.0035747009	-0.0024877376	-0.0041687712	-0.0010865065	0.0055541037	-0.0035559792	-0.0049994375	-0.0029727493	-0.0066442452	-0.0028694225	-0.0044268400	-0.0036098538	-0.0013528231	-0.0030599754	-0.0023361113	-0.0032075154	-0.0037098023	-0.0032075154	-0.0044268400	-0.0038823858	-0.0060549417	-0.0039589236	-0.0017972075	-0.0058930606	-0.0060549417	-0.0039890442	-0.0029727493	-0.0055588469	-0.0041687712	-0.0051775428	-0.0049994375	-0.0011497981	-0.0055588469	-0.0046619646	-0.0049196483	-0.0010251851	-0.0032983713	-0.0022084074	-0.0040793693	-0.0066442452	-0.0036098538	-0.0049196483	-0.0014097951	-0.0036098538	-0.0035559792	-0.0035140763	-0.0021287195	-0.0045176890	-0.0041687712	-0.0055588469	-0.0035140763	-0.0046619646	-0.0027769461	-0.0017621665	-0.0032075154	-0.0041687712	-0.0026827697	-0.0030599754	-0.0088158057	-0.0037098023	-0.0088158057	-0.0027769461	-0.0012467604	-0.0045176890	-0.0035559792	-0.0027769461	-0.0032075154	-0.0060549417	-0.0029727493	-0.0049196483	0.0086856811	-0.0041687712	-0.0046619646	-0.0055588469	-0.0037098023	-0.0028694225	-0.0028694225	-0.0028694225
metab_5	-0.0046379988	-0.0036098538	-0.0036098538	-0.0046379988	-0.0014097951	-0.0045176890	-0.0014097951	-0.0028694225	-0.0018547889	-0.0023361113	-0.0024371070	-0.0051775428	-0.0021287195	-0.0026217018	-0.0035747009	-0.0013916958	-0.0049994375	-0.0023361113	-0.0032748691	-0.0040955903	-0.0046619646	-0.0049994375	-0.0015461874	-0.0044268400	-0.0035559792	-0.0011585939	-0.0017972075	0.0210511503	-0.0013528231	-0.0029727493	-0.0018547889	-0.0009376947	0.0062766005	-0.0012872075	-0.0088158057	-0.0013046086	-0.0013475575	-0.0038823858	-0.0035140763	-0.0044268400	-0.0030599754	-0.0040955903	-0.0035140763	-0.0028694225	-0.0028694225	-0.0012872075	-0.0088158057	-0.0023361113	-0.0035140763	-0.0031386238	-0.0017621665	-0.0035747009	-0.0038823858	-0.0032748691	-0.0024877376	-0.0028694225	-0.0035559792	-0.0016756918	-0.0036098538	-0.0011701347	-0.0051775428	-0.0017621665	-0.0032075154	-0.0011037445	-0.0049994375	-0.0041687712	-0.0039589236	-0.0060549417	-0.0046619646	-0.0024371070	-0.0028694225	-0.0058930606	-0.0015133633	-0.0034259842	-0.0035559792	-0.0014832325	-0.0032748691	-0.0021287195	-0.0027769461	-0.0024877376	-0.0017621665	-0.0058930606	-0.0027769461	-0.0026827697	-0.0038823858	-0.0038823858	-0.0058930606	-0.0038823858	-0.0035140763	-0.0012467604	-0.0010865065	-0.0035140763	-0.0028694225	-0.0015133633	-0.0013046086	-0.0088158057	-0.0040793693	-0.0032075154	0.0086156433	-0.0022084074	-0.0018547889	-0.0013046086	-0.0028694225	-0.0035747009	-0.0024877376	-0.0049994375
metab_6	-0.0023071277	-0.0041687712	-0.0039589236	-0.0031386238	-0.0029727493	-0.0088158057	-0.0011851988	-0.0040793693	-0.0027769461	-0.0009909403	-0.0012292258	-0.0024877376	-0.0049196483	-0.0039589236	-0.0038823858	-0.0032983713	-0.0040793693	-0.0030599754	-0.0035140763	-0.0017621665	-0.0024877376	-0.0036098538	-0.0035559792	-0.0088158057	-0.0049994375	-0.0013475575	-0.0012666221	0.0207681491	-0.0013916958	-0.0035140763	-0.0024877376	-0.0009749736	0.0056585384	-0.0032748691	-0.0058930606	-0.0032748691	-0.0027769461	-0.0034259842	-0.0036098538	-0.0032983713	-0.0011701347	-0.0023361113	-0.0031386238	-0.0049994375	-0.0017621665	-0.0049441417	-0.0023216195	-0.0030599754	-0.0055588469	-0.0035559792	-0.0012963686	-0.0032983713	-0.0088158057	-0.0060549417	-0.0039589236	-0.0035559792	-0.0026217018	-0.0023071277	-0.0032075154	-0.0027769461	-0.0046619646	-0.0041687712	-0.0046379988	-0.0036098538	-0.0041687712	-0.0018547889	-0.0026217018	-0.0029727493	-0.0034259842	-0.0022084074	-0.0049994375	-0.0046379988	-0.0017972075	-0.0016756918	-0.0029727493	-0.0032983713	-0.0066442452	-0.0027769461	-0.0015916975	-0.0028694225	-0.0011037445	-0.0049196483	-0.0024371070	-0.0035747009	-0.0040793693	-0.0088158057	-0.0049994375	-0.0028694225	-0.0049196483	-0.0051775428	-0.0017621665	-0.0049994375	-0.0026217018	-0.0018547889	-0.0088158057	-0.0046619646	-0.0035747009	-0.0051775428	0.0085578962	-0.0013528231	-0.0058930606	-0.0014832325	-0.0024371070	-0.0040955903	-0.0026217018	-0.0049441417
metab_7	-0.0039589236	-0.0049441417	-0.0032748691	-0.0066442452	-0.0011701347	-0.0060549417	-0.0012467604	-0.0038823858	-0.0039589236	-0.0013046086	-0.0035140763	-0.0034259842	-0.0039589236	-0.0032075154	-0.0026827697	-0.0032075154	-0.0088158057	-0.0016756918	-0.0040793693	-0.0012963686	-0.0035747009	-0.0010700185	-0.0010613955	-0.0029727493	-0.0031386238	-0.0011988319	-0.0028694225	0.0203821019	-0.0039589236	-0.0039589236	-0.0032075154	-0.0010515443	0.0054326465	-0.0018547889	-0.0041687712	-0.0032075154	-0.0040955903	-0.0041687712	-0.0041687712	-0.0023071277	-0.0041687712	-0.0012872075	-0.0015461874	-0.0039890442	-0.0036098538	-0.0030599754	-0.0037098023	-0.0014097951	-0.0022376952	-0.0022230513	-0.0016756918	-0.0035140763	-0.0040793693	-0.0029727493	-0.0039890442	-0.0051775428	-0.0022376952	-0.0031386238	-0.0039589236	-0.0009376947	-0.0032075154	-0.0045176890	-0.0032748691	-0.0010515443	-0.0037098023	-0.0015461874	-0.0041687712	-0.0023071277	-0.0039589236	-0.0016756918	-0.0046619646	-0.0022084074	-0.0021287195	-0.0023361113	-0.0026827697	-0.0038823858	-0.0016756918	-0.0058930606	-0.0055588469	-0.0035559792	-0.0024877376	-0.0026217018	-0.0060549417	-0.0055588469	-0.0022084074	-0.0049441417	-0.0008737839	-0.0039890442	-0.0066442452	-0.0023361113	-0.0011851988	-0.0037098023	-0.0031386238	-0.0032075154	-0.0014832325	-0.0058930606	-0.0022084074	-0.0039589236	0.0084886924	-0.0039589236	-0.0060549417	-0.0024371070	-0.0055588469	-0.0044268400	-0.0036098538	-0.0014832325
metab_8	-0.0016756918	-0.0055588469	-0.0046619646	-0.0055588469	-0.0088158057	-0.0039589236	-0.0012963686	-0.0040955903	-0.0038823858	-0.0012666221	-0.0013916958	-0.0016756918	-0.0024877376	-0.0036098538	-0.0036098538	-0.0030599754	-0.0041687712	-0.0014097951	-0.0035747009	-0.0049441417	-0.0016756918	-0.0045176890	-0.0038823858	-0.0051775428	-0.0045176890	-0.0012292258	-0.0018547889	0.0200302499	-0.0028694225	-0.0016756918	-0.0035559792	-0.0011988319	0.0052456342	-0.0028694225	-0.0051775428	-0.0055588469	-0.0014097951	-0.0046619646	-0.0049441417	-0.0013475575	-0.0035747009	-0.0049441417	-0.0015916975	-0.0027769461	-0.0023071277	-0.0024877376	-0.0049441417	-0.0034259842	-0.0029727493	-0.0026827697	-0.0028694225	-0.0046379988	-0.0030599754	-0.0022376952	-0.0030599754	-0.0030599754	-0.0015461874	-0.0041687712	-0.0017621665	-0.0010865065	-0.0038823858	-0.0051775428	-0.0037098023	-0.0011497981	-0.0045176890	-0.0014832325	-0.0088158057	-0.0040793693	-0.0031386238	-0.0034259842	-0.0031386238	-0.0049994375	-0.0046619646	-0.0035747009	-0.0037098023	-0.0066442452	-0.0030599754	-0.0030599754	-0.0017621665	-0.0051775428	-0.0015133633	-0.0040955903	-0.0049196483	-0.0060549417	-0.0046379988	-0.0058930606	-0.0011988319	-0.0088158057	-0.0060549417	-0.0029727493	-0.0012292258	-0.0034259842	-0.0032075154	-0.0041687712	-0.0045176890	-0.0049994375	-0.0039890442	-0.0034259842	0.0083600368	-0.0012872075	-0.0032748691	-0.0049441417	-0.0049196483	-0.0023071277	-0.0045176890	-0.0044268400
metab_9	-0.0040955903	-0.0024371070	-0.0027769461	-0.0040955903	-0.0023361113	-0.0035140763	-0.0015297753	-0.0049441417	-0.0055588469	-0.0018547889	-0.0009749736	-0.0013528231	-0.0031386238	-0.0015916975	-0.0045176890	-0.0040793693	-0.0039589236	-0.0028694225	-0.0013046086	-0.0030599754	-0.0039890442	-0.0040955903	-0.0024371070	-0.0035747009	-0.0015916975	-0.0011851988	-0.0013528231	0.0197694458	-0.0015133633	-0.0013475575	-0.0026217018	-0.0010700185	0.0051411558	-0.0014332136	-0.0036098538	-0.0024371070	-0.0012467604	-0.0039589236	-0.0017972075	-0.0055588469	-0.0027769461	-0.0022084074	-0.0012292258	-0.0014832325	-0.0040793693	-0.0011851988	-0.0040955903	-0.0015133633	-0.0015916975	-0.0032983713	-0.0026217018	-0.0015461874	-0.0039890442	-0.0024371070	-0.0017621665	-0.0066442452	-0.0017621665	-0.0026217018	-0.0055588469	-0.0021287195	-0.0058930606	-0.0011701347	-0.0013528231	-0.0012292258	-0.0049196483	-0.0035747009	-0.0035559792	-0.0046379988	-0.0035559792	-0.0029727493	-0.0035747009	-0.0044268400	-0.0013046086	-0.0046379988	-0.0035140763	-0.0024371070	-0.0055588469	-0.0045176890	-0.0049196483	-0.0045176890	-0.0014832325	-0.0031386238	-0.0014332136	-0.0010251851	-0.0055588469	-0.0045176890	-0.0017621665	-0.0046379988	-0.0014332136	-0.0040955903	-0.0009376947	-0.0041687712	-0.0024371070	-0.0016756918	-0.0030599754	-0.0023071277	-0.0023071277	-0.0009909403	0.0082908074	-0.0010014567	-0.0024877376	-0.0049994375	-0.0032748691	-0.0055588469	-0.0018547889	-0.0038823858
metab_10	-0.0026827697	-0.0015133633	-0.0015461874	-0.0030599754	-0.0028694225	-0.0037098023	-0.0017972075	-0.0032075154	-0.0032075154	-0.0011313278	-0.0011313278	-0.0012467604	-0.0011988319	-0.0010700185	-0.0049196483	-0.0026827697	-0.0023361113	-0.0039890442	-0.0012467604	-0.0013046086	-0.0011701347	-0.0024371070	-0.0040955903	-0.0039589236	-0.0041687712	-0.0012963686	-0.0009159127	0.0194085596	-0.0010613955	-0.0024371070	-0.0013475575	-0.0008425529	0.0049532363	-0.0013528231	-0.0035140763	-0.0023361113	-0.0010865065	-0.0032075154	-0.0045176890	-0.0014832325	-0.0039890442	-0.0032748691	-0.0011851988	-0.0036098538	-0.0046379988	-0.0016756918	-0.0017621665	-0.0027769461	-0.0016756918	-0.0023071277	-0.0009909403	-0.0013916958	-0.0023071277	-0.0014097951	-0.0026827697	-0.0046619646	-0.0012872075	-0.0022376952	-0.0044268400	-0.0012467604	-0.0028694225	-0.0010613955	-0.0014332136	-0.0023071277	-0.0036098538	-0.0030599754	-0.0015461874	-0.0032748691	-0.0026217018	-0.0014832325	-0.0014832325	-0.0026827697	-0.0011313278	-0.0029727493	-0.0010251851	-0.0012467604	-0.0009159127	-0.0023361113	-0.0022376952	-0.0049994375	-0.0026217018	-0.0023361113	-0.0034259842	-0.0011585939	-0.0023361113	-0.0049994375	-0.0032983713	-0.0041687712	-0.0051775428	-0.0016756918	-0.0009749736	-0.0046379988	-0.0032983713	-0.0044268400	-0.0049196483	-0.0032983713	-0.0015461874	-0.0011988319	0.0082257108	-0.0015461874	-0.0039589236	-0.0015461874	-0.0040793693	-0.0016756918	-0.0026827697	-0.0088158057
